Ticker,Symbol,Security Name,Exchange,Sector,Industry,Market Cap,Avg Volume
NVDA,NVDA,NVIDIA Corporation - Common Stock,NASDAQ,Unknown,Unknown,,160940968
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Unknown,Unknown,,134731386
AAL,AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,103966776
SOFI,SOFI,"SoFi Technologies, Inc.  - Common Stock",NASDAQ,Unknown,Unknown,,79146398
F,F,Ford Motor Company Common Stock,NYSE,Unknown,Unknown,,66159742
NU,NU,Nu Holdings Ltd. Class A Ordinary Shares,NYSE,Unknown,Unknown,,60217638
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Unknown,Unknown,,56990136
SMCI,SMCI,"Super Micro Computer, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,55779340
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,54259782
T,T,AT&T Inc.,NYSE,Unknown,Unknown,,53916586
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,51190552
TSLA,TSLA,"Tesla, Inc.  - Common Stock",NASDAQ,Unknown,Unknown,,49242566
IREN,IREN,IREN Limited - Ordinary Shares,NASDAQ,Unknown,Unknown,,48368766
PATH,PATH,"UiPath, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,48113748
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,45284004
PLTR,PLTR,Palantir Technologies Inc. - Class A Common Stock,NASDAQ,Unknown,Unknown,,43551182
MARA,MARA,"MARA Holdings, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,43385556
RGTI,RGTI,"Rigetti Computing, Inc.  - Common stock",NASDAQ,Unknown,Unknown,,42870994
RDW,RDW,Redwire Corporation Common Stock,NYSE,Unknown,Unknown,,42640622
PFE,PFE,"Pfizer, Inc. Common Stock",NYSE,Unknown,Unknown,,41615534
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Unknown,Unknown,,41225744
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,40621942
BMNR,BMNR,"BitMine Immersion Technologies, Inc. Common Stock",NYSE,Unknown,Unknown,,37359484
BB,BB,BlackBerry Limited Common Stock,NYSE,Unknown,Unknown,,37032370
RIVN,RIVN,"Rivian Automotive, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,37030588
CMCSA,CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,Unknown,Unknown,,36510416
BAC,BAC,Bank of America Corporation Common Stock,NYSE,Unknown,Unknown,,36021590
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Unknown,Unknown,,34849044
QBTS,QBTS,D-Wave Quantum Inc. Common Shares,NYSE,Unknown,Unknown,,33794978
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Unknown,Unknown,,33422670
CDE,CDE,"Coeur Mining, Inc. Common Stock",NYSE,Unknown,Unknown,,32175820
NVTS,NVTS,Navitas Semiconductor Corporation - Common Stock,NASDAQ,Unknown,Unknown,,31420800
WULF,WULF,TeraWulf Inc. - Common Stock,NASDAQ,Unknown,Unknown,,30819072
HOOD,HOOD,"Robinhood Markets, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,30008178
CRWV,CRWV,"CoreWeave, Inc. - Class A Common Stock",NASDAQ,Unknown,Unknown,,29577590
IONQ,IONQ,"IonQ, Inc. Common Stock",NYSE,Unknown,Unknown,,29111638
RKT,RKT,"Rocket Companies, Inc. Class A Common Stock",NYSE,Unknown,Unknown,,28804544
HPE,HPE,Hewlett Packard Enterprise Company Common Stock,NYSE,Unknown,Unknown,,28410680
RKLB,RKLB,Rocket Lab Corporation - Common Stock,NASDAQ,Unknown,Unknown,,28297744
ORCL,ORCL,Oracle Corporation Common Stock,NYSE,Unknown,Unknown,,27928066
NOW,NOW,"ServiceNow, Inc. Common Stock",NYSE,Unknown,Unknown,,27913100
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Unknown,Unknown,,27566148
