Ticker,Symbol,Security Name,Exchange,Sector,Industry,Market Cap,Avg Volume
AAPL,AAPL,Apple Inc. - Common Stock,NASDAQ,Technology,Consumer Electronics,4532958920704,56524180
GOOGL,GOOGL,Alphabet Inc. - Class A Common Stock,NASDAQ,Communication Services,Internet Content & Information,4391827931136,33540342
GOOG,GOOG,Alphabet Inc. - Class C Capital Stock,NASDAQ,Communication Services,Internet Content & Information,4346312392704,22941180
MSFT,MSFT,Microsoft Corporation - Common Stock,NASDAQ,Technology,Software - Infrastructure,2900729528320,41453520
AMZN,AMZN,"Amazon.com, Inc. - Common Stock",NASDAQ,Consumer Cyclical,Internet Retail,2610427854848,51912624
AVGO,AVGO,Broadcom Inc. - Common Stock,NASDAQ,Technology,Semiconductors,1714869895168,27281432
META,META,"Meta Platforms, Inc. - Class A Common Stock",NASDAQ,Communication Services,Internet Content & Information,1479647035392,17884736
MU,MU,"Micron Technology, Inc. - Common Stock",NASDAQ,Technology,Semiconductors,1101790838784,54281020
AMD,AMD,"Advanced Micro Devices, Inc. - Common Stock",NASDAQ,Technology,Semiconductors,844357632000,37624848
ASML,ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Technology,Semiconductor Equipment & Materials,681927180288,1937968
INTC,INTC,Intel Corporation - Common Stock,NASDAQ,Technology,Semiconductors,604879060992,141752100
AMAT,AMAT,"Applied Materials, Inc. - Common Stock",NASDAQ,Technology,Semiconductor Equipment & Materials,478789271552,9723142
CSCO,CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,Technology,Communication Equipment,444160278528,26043220
LRCX,LRCX,Lam Research Corporation - Common Stock,NASDAQ,Technology,Semiconductor Equipment & Materials,439463149568,11511062
COST,COST,Costco Wholesale Corporation - Common Stock,NASDAQ,Consumer Defensive,Discount Stores,422045483008,2359118
NFLX,NFLX,"Netflix, Inc. - Common Stock",NASDAQ,Communication Services,Entertainment,326968508416,40036384
KLAC,KLAC,KLA Corporation  - Common Stock,NASDAQ,Technology,Semiconductor Equipment & Materials,307693125632,12816654
LIN,LIN,Linde plc - Ordinary Shares,NASDAQ,Basic Materials,Specialty Chemicals,252737536000,2331590
MRVL,MRVL,"Marvell Technology, Inc. - Common Stock",NASDAQ,Technology,Semiconductors,214764421120,46066822
AMGN,AMGN,Amgen Inc. - Common Stock,NASDAQ,Healthcare,Drug Manufacturers - General,201931849728,2837064
CRWD,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,Technology,Software - Infrastructure,197521932288,13094436
ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,Technology,Semiconductors,183709745152,4941644
APP,APP,Applovin Corporation - Class A Common Stock,NASDAQ,Communication Services,Advertising Agencies,177060282368,5081464
GILD,GILD,"Gilead Sciences, Inc. - Common Stock",NASDAQ,Healthcare,Drug Manufacturers - General,162980888576,7727784
IBKR,IBKR,"Interactive Brokers Group, Inc. - Class A Common Stock",NASDAQ,Financial Services,Capital Markets,154915979264,5092526
ISRG,ISRG,"Intuitive Surgical, Inc. - Common Stock",NASDAQ,Healthcare,Medical Instruments & Supplies,150876913664,2487250
BKNG,BKNG,Booking Holdings Inc. - Common Stock,NASDAQ,Consumer Cyclical,Travel Services,143011561472,8305342
FTNT,FTNT,"Fortinet, Inc. - Common Stock",NASDAQ,Technology,Software - Infrastructure,114476310528,6520368
CDNS,CDNS,"Cadence Design Systems, Inc. - Common Stock",NASDAQ,Technology,Software - Application,102917988352,2551750
HOOD,HOOD,"Robinhood Markets, Inc. - Class A Common Stock",NASDAQ,Financial Services,Capital Markets,101513945088,30469194
EQIX,EQIX,"Equinix, Inc. - Common Stock",NASDAQ,Real Estate,REIT - Specialty,98823471104,622282
MAR,MAR,Marriott International - Class A Common Stock,NASDAQ,Consumer Cyclical,Lodging,98342674432,1503300
ADP,ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,Technology,Software - Application,96843620352,3015082
MNST,MNST,Monster Beverage Corporation - Common Stock,NASDAQ,Consumer Defensive,Beverages - Non-Alcoholic,95453593600,5654852
DDOG,DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,Technology,Software - Application,92677791744,6069526
CSX,CSX,CSX Corporation - Common Stock,NASDAQ,Industrials,Railroads,90844405760,12945086
MELI,MELI,"MercadoLibre, Inc. - Common Stock",NASDAQ,Consumer Cyclical,Internet Retail,89397387264,579456
ABNB,ABNB,"Airbnb, Inc. - Class A Common Stock",NASDAQ,Consumer Cyclical,Travel Services,88390680576,3938256
ADBE,ADBE,Adobe Inc. - Common Stock,NASDAQ,Technology,Software - Application,87338696704,6653252
CME,CME,CME Group Inc. - Class A Common Stock,NASDAQ,Financial Services,Financial Data & Stock Exchanges,85488967680,3452174
CEG,CEG,Constellation Energy Corporation - Common Stock When-Issued,NASDAQ,Utilities,Utilities - Independent Power Producers,85436653568,3882544
CMCSA,CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ,Communication Services,Telecom Services,84983324672,37266370
DASH,DASH,"DoorDash, Inc. - Common Stock",NASDAQ,Consumer Cyclical,Internet Retail,83662348288,5082898
HONA,HONA,Honeywell Aerospace Inc. - Common Stock,NASDAQ,Industrials,Aerospace & Defense,78331658240,2317846
